chromosome,gene_name,gene_type,position_start,position_end,gene_source,strand
chr1,DDX11L1,transcribed_unprocessed_pseudogene,11869,14409,HAVANA,+
chr1,WASH7P,unprocessed_pseudogene,14404,29570,HAVANA,-
chr1,MIR1302-2HG,lncRNA,29554,31109,HAVANA,+
chr1,FAM138A,lncRNA,34554,36081,HAVANA,-
chr1,OR4G4P,unprocessed_pseudogene,52473,53312,HAVANA,+
chr1,OR4G11P,transcribed_unprocessed_pseudogene,57598,64116,HAVANA,+
chr1,OR4F5,protein_coding,65419,71585,HAVANA,+
chr1,RP11-34P13.7,lncRNA,89295,133723,HAVANA,-
chr1,RP11-34P13.8,lncRNA,89551,91105,HAVANA,-
chr1,CICP27,processed_pseudogene,131025,134836,HAVANA,+
chr1,KNOWN,protein_coding,134901,139379,ENSEMBL,-
chr1,RP11-34P13.15,processed_pseudogene,135141,135895,HAVANA,-
chr1,RP11-34P13.16,processed_pseudogene,137682,137965,HAVANA,-
chr1,RP11-34P13.14,lncRNA,139790,140339,HAVANA,-
chr1,RP11-34P13.13,lncRNA,141474,173862,HAVANA,-
chr1,KNOWN,snRNA,157784,157887,ENSEMBL,-
chr1,RP11-34P13.9,lncRNA,160446,161525,HAVANA,+
chr1,NOVEL,lincRNA,227615,267253,HAVANA,-
chr1,AP006222.3,lncRNA,236606,238406,HAVANA,+
chr1,KNOWN,pseudogene,326096,328112,HAVANA,+
chr1,KNOWN,pseudogene,329431,332236,HAVANA,-
chr1,KNOWN,pseudogene,334126,334305,HAVANA,+
chr1,KNOWN,protein_coding,367640,368634,HAVANA,+
chr1,KNOWN,pseudogene,379105,379467,HAVANA,-
chr1,NOVEL,pseudogene,450820,450910,ENSEMBL,-
chr1,NOVEL,lincRNA,453633,460480,HAVANA,-
chr1,NOVEL,lincRNA,459656,461954,HAVANA,+
chr1,KNOWN,pseudogene,470971,471355,HAVANA,+
chr1,RP11-206L10.17,transcribed_processed_pseudogene,521451,763176,HAVANA,-
chr1,RP5-857K21.2,lncRNA,523009,530148,HAVANA,+
chr1,MTND1P23,unprocessed_pseudogene,564442,564813,HAVANA,+
chr1,MTND2P28,unprocessed_pseudogene,565020,566063,HAVANA,+
chr1,MTCO1P12,unprocessed_pseudogene,566454,567996,HAVANA,+
chr1,MTCO2P12,unprocessed_pseudogene,568137,568818,HAVANA,+
chr1,MTATP8P1,unprocessed_pseudogene,568915,569121,HAVANA,+
chr1,MTATP6P1,unprocessed_pseudogene,569076,569756,HAVANA,+
chr1,MTCO3P12,unprocessed_pseudogene,569756,570302,HAVANA,+
chr1,WBP1LP6,processed_pseudogene,610222,610645,HAVANA,+
chr1,OR4F16,protein_coding,621059,622053,HAVANA,-
chr1,CICP3,processed_pseudogene,657472,660283,HAVANA,+
chr1,RP11-206L10.2,transcribed_unprocessed_pseudogene,661265,714006,HAVANA,-
chr1,NOVEL,lincRNA,677193,685396,HAVANA,-
chr1,KNOWN,snRNA,693613,693716,ENSEMBL,-
chr1,RP11-206L10.4,lncRNA,696291,697369,HAVANA,+
chr1,LINC01409,lncRNA,714127,745445,HAVANA,+
chr1,RP11-206L10.18,transcribed_processed_pseudogene,717317,717430,HAVANA,+
chr1,RP11-206L10.8,transcribed_unprocessed_pseudogene,736259,753092,HAVANA,-
chr1,FAM87B,lncRNA,752751,755217,HAVANA,+
chr1,LINC01128,lncRNA,760518,794826,HAVANA,+
chr1,LINC00115,lncRNA,761586,762902,HAVANA,-
chr1,RP11-206L10.19,lncRNA,795606,803582,HAVANA,+
chr1,FAM41C,lncRNA,803451,812283,HAVANA,-
chr1,TUBB8P11,unprocessed_pseudogene,808672,809729,HAVANA,+
chr1,FAM166AP3,transcribed_unprocessed_pseudogene,809909,812614,HAVANA,-
chr1,RP11-54O7.16,lncRNA,840214,851356,HAVANA,+
chr1,RP11-54O7.1,lncRNA,846815,850328,HAVANA,+
chr1,RP11-54O7.2,lncRNA,849551,850351,HAVANA,+
chr1,LINC02593,lncRNA,852245,856396,HAVANA,-
chr1,SAMD11,protein_coding,859303,879955,HAVANA,+
chr1,NOC2L,protein_coding,879583,894689,HAVANA,-
chr1,KLHL17,protein_coding,895964,901099,HAVANA,+
chr1,PLEKHN1,protein_coding,901862,911245,HAVANA,+
chr1,PERM1,protein_coding,910584,917473,HAVANA,-
chr1,RP11-54O7.17,lncRNA,931346,933431,HAVANA,-
chr1,HES4,protein_coding,934342,935552,HAVANA,-
chr1,ISG15,protein_coding,936518,949920,HAVANA,+
chr1,RP11-54O7.10,processed_pseudogene,943456,943609,HAVANA,-
chr1,RP11-54O7.11,lncRNA,947377,948573,HAVANA,-
chr1,AGRN,protein_coding,955500,991498,HAVANA,+
chr1,RP11-54O7.14,lncRNA,990413,991496,HAVANA,+
chr1,RP11-465B22.3,transcribed_unprocessed_pseudogene,995088,1004735,HAVANA,+
chr1,RP11-54O7.18,lncRNA,997588,998668,HAVANA,-
chr1,RNF223,protein_coding,1006347,1009686,HAVANA,-
chr1,C1orf159,protein_coding,1017198,1051741,HAVANA,-
chr1,RP11-465B22.9,lncRNA,1032965,1039978,HAVANA,+
chr1,LINC01342,lncRNA,1072397,1079436,HAVANA,+
chr1,KNOWN,miRNA,1102484,1102578,ENSEMBL,+
chr1,KNOWN,miRNA,1103243,1103332,ENSEMBL,+
chr1,KNOWN,miRNA,1104385,1104467,ENSEMBL,+
chr1,RP11-465B22.8,lncRNA,1104737,1105723,HAVANA,+
chr1,TTLL10-AS1,lncRNA,1108436,1114935,HAVANA,-
chr1,TTLL10,protein_coding,1109260,1133316,HAVANA,+
chr1,TNFRSF18,protein_coding,1138888,1141972,HAVANA,-
chr1,TNFRSF4,protein_coding,1146720,1149533,HAVANA,-
chr1,SDF4,protein_coding,1152289,1167447,HAVANA,-
chr1,B3GALT6,protein_coding,1167617,1170421,HAVANA,+
chr1,C1QTNF12,protein_coding,1177826,1182102,HAVANA,-
chr1,RP5-902P8.12,lncRNA,1185157,1186714,HAVANA,-
chr1,UBE2J2,protein_coding,1189289,1209244,HAVANA,-
